Keyword, Search Volume (Normalized 0-100), Growth (Normalized 0-100), Type, CPC, Competition, Keyword Difficulty
blueberry muffin recipe easy, 7, 0, , $0.41, 0.10, 34
blueberry muffin strain, 9, 0, , , 0.00, 14
blueberry muffin strawberry shortcake, 9, 0, , $0.21, 0.02, 
blueberry muffins, 45, 0, , $0.44, 0.47, 46
blueberry nails, 1, 1, , $0.10, 0.71, 
blueberry near me, 4, 0, , $0.70, 0.69, 2
blueberry netting, 1, 0, , $0.62, 1.00, 
blueberry nights, 2, 1, , $0.03, 0.00, 21
blueberry northland, 0, 1, , $0.89, 1.00, 
blueberry nougat, 2, 0, , $0.23, 0.01, 
blueberry nougat waffle house, 1, 0, , , 0.00, 
blueberry nutrition, 16, 0, , $0.63, 0.03, 38
blueberry nutrition facts 100g, 1, 0, , , 0.00, 8
blueberry nutritional facts, 5, 1, , $1.41, 0.01, 38
blueberry oakland, 0, 0, , , 0.00, 
blueberry oat muffins, 3, 0, , $0.60, 0.13, 14
blueberry oatmeal, 1, 1, , $0.30, 0.89, 17
blueberry oatmeal bake, 1, 0, , $0.58, 0.00, 20
blueberry oatmeal bars, 1, 0, , $0.48, 0.26, 5
blueberry oatmeal cookies, 1, 0, , $0.50, 0.07, 
blueberry oatmeal muffins, 3, 0, , $0.60, 0.13, 14
blueberry octopus, 1, 100, , , 0.00, 
blueberry og strain, 0, 0, , , 0.00, 2
blueberry on bush, 0, 0, attribute, $0.10, 0.78, 7
blueberry on clouds, 0, 0, attribute, , 0.00, 
blueberry on keto, 0, 0, attribute, $1.39, 0.07, 2
blueberry on plant, 11, 0, attribute, $0.72, 1.00, 14
blueberry on sale, 0, 0, attribute, , 0.00, 
blueberry on stem, 0, 0, attribute, , 0.00, 
blueberry on tree, 0, 0, attribute, , 0.00, 
blueberry on vine, 0, 0, attribute, , 0.00, 
blueberry on willy wonka, 0, 0, attribute, , 0.00, 
blueberry overnight oats, 2, 0, , $1.17, 0.35, 6
blueberry pancake recipe, 9, 0, , $1.17, 0.07, 13
blueberry pancakes, 11, 0, , $0.81, 0.19, 31
blueberry pediatrics, 0, 0, , , 0.00, 10
blueberry picking, 11, 0, , $0.80, 0.01, 4
blueberry picking near me, 55, 0, , $0.86, 0.01, 33
blueberry picking nyc, 1, 0, , $5.18, 0.03, 19
blueberry pie, 16, 0, , $0.46, 0.19, 33
blueberry pie filling recipe, 4, 0, , $0.47, 0.03, 10
blueberry pie recipe, 20, 0, , $0.41, 0.07, 22
blueberry plant, 11, 0, , $0.72, 1.00, 14
blueberry plant from blueberry, 0, 1, , $0.01, 0.60, 55
blueberry quartz, 0, 0, , $0.20, 0.70, 
blueberry quesadilla, 0, 0, , , 0.00, 
blueberry quest bar, 0, 0, , $0.42, 0.98, 
blueberry quests, 0, 0, , $0.39, 0.84, 
blueberry quick bread, 0, 0, , , 0.01, 17
blueberry quick bread recipe, 0, 0, , , 0.00, 16
blueberry quilt, 0, 0, , $0.72, 1.00, 
blueberry quinoa, 0, 0, , $0.44, 0.13, 12
blueberry quinoa salad, 0, 0, , , 0.00, 
blueberry quotes, 0, 0, , , 0.02, 
blueberry raspberry lemon lost mary, 0, 0, , , 0.00, 
blueberry razz strain, 0, 1, , , 0.00, 
blueberry recipes, 11, 0, , $0.15, 0.27, 33
blueberry red bull, 5, 1, , $0.28, 0.94, 
blueberry reduction, 0, 0, , , 0.01, 26
blueberry ricotta cake, 1, 0, , , 0.00, 11
blueberry ricotta pancakes, 0, 0, , $1.08, 0.01, 6
blueberry ricotta toast, 0, 0, , , 0.00, 
blueberry runtz strain, 0, 0, , , 0.00, 45
blueberry rx bars, 1, 0, , $0.75, 1.00, 
blueberry sauce recipe, 2, 0, , $0.07, 0.02, 17
blueberry scone recipe, 9, 0, , $0.13, 0.03, 11
blueberry scones, 9, 0, , $0.25, 0.32, 26
blueberry scones recipe, 9, 0, , $0.13, 0.03, 9
blueberry season, 5, 1, , $0.02, 0.00, 
blueberry shortage, 0, 0, , , 0.00, 
blueberry smoothie, 7, 0, , $1.09, 0.20, 16
blueberry smoothie recipe, 7, 0, , $0.93, 0.11, 22
blueberry smoothie without banana, 0, 1, , $0.92, 0.02, 
blueberry splash, 0, 0, , , 0.00, 
blueberry splash strain, 0, 2, , , 0.00, 
blueberry strain, 3, 0, , , 0.00, 17
blueberry syrup, 6, 0, , $0.44, 1.00, 5
blueberry syrup recipe, 4, 0, , $1.00, 0.00, 8
blueberry tart, 2, 0, , $0.94, 0.02, 15
blueberry tart recipe, 1, 0, , $0.83, 0.00, 4
blueberry tattoo, 1, 0, , $0.05, 0.01, 
blueberry tea, 2, 0, , $0.42, 1.00, 
blueberry tea benefits, 0, 0, , $0.83, 0.09, 4
blueberry topping, 0, 0, , $0.38, 0.60, 26
blueberry topping for cheesecake, 1, 0, , $0.28, 0.11, 6
blueberry tree, 5, 0, , $0.42, 0.99, 18
blueberry treehouse farm, 2, 0, , , 0.00, 11
blueberry turnovers, 1, 0, , $0.25, 0.19, 
blueberry u pick, 1, 0, , $0.61, 0.01, 
blueberry u pick near me, 1, 0, , $0.90, 0.02, 14
blueberry ugly, 0, 0, , , 0.00, 
blueberry uncrustables, 0, 0, , $0.13, 0.88, 2
blueberry undertale, 0, 0, , , 0.00, 
blueberry unfrosted pop tarts, 0, 0, , $0.30, 0.98, 
blueberry upside down cake, 1, 0, , $1.31, 0.00, 13
blueberry upside down cake with cake mix, 0, 0, , , 0.00, 20
blueberry urban dictionary, 0, 0, , , 0.00, 
blueberry uses, 0, 0, , $0.11, 0.08, 22
blueberry vanilla goat cheese, 0, 0, , $0.26, 0.91, 
blueberry vape, 0, 0, , , 0.00, 
blueberry varieties, 1, 0, , $0.96, 0.71, 2
blueberry village, 1, 0, , $1.66, 0.19, 
blueberry village reviews, 0, 1, , $0.57, 0.01, 
blueberry vinaigrette, 0, 0, , $0.36, 0.70, 
blueberry vitamins, 1, 1, , $1.07, 0.43, 46
blueberry vodka, 3, 0, , $0.48, 0.98, 
blueberry vodka drinks, 1, 0, , $0.78, 0.32, 1
blueberry vodka lemonade, 1, 0, , $0.70, 0.53, 
blueberry waffles, 3, 0, , $0.27, 0.80, 15
blueberry water, 0, 0, , $0.43, 0.66, 
blueberry watermelon, 0, 1, , , 0.00, 
blueberry watermelon geek bar, 0, 0, , , 0.00, 
blueberry weed strain, 0, 0, , , 0.00, 
blueberry white tea, 0, 1, , $0.36, 0.96, 
blueberry white tea arizona, 2, 1, , $0.26, 0.94, 
blueberry willy wonka, 3, 0, , , 0.00, 
blueberry wine, 5, 0, , $0.40, 0.95, 
blueberry wine recipe, 0, 0, , $0.02, 0.00, 
blueberry with 216, 0, 0, attribute, , 0.00, 
blueberry with chocolate, 1, 0, attribute, $1.08, 0.97, 
blueberry with eyes, 0, 1, attribute, , 0.00, 31
blueberry with face, 0, 1, attribute, , 0.00, 
blueberry with leaf, 0, 1, attribute, , 0.13, 
blueberry with leaves, 0, 1, attribute, , 0.13, 
blueberry with no eyes, 0, 0, attribute, , 0.00, 
blueberry with numbers on it, 0, 0, attribute, , 0.00, 
blueberry with stem, 0, 0, attribute, , 0.00, 
blueberry with yogurt, 0, 0, attribute, $0.47, 0.40, 
blueberry without added sugar, 0, 0, attribute, , 0.00, 
blueberry without background, 0, 1, attribute, , 0.00, 
blueberry without seeds, 0, 1, attribute, , 0.00, 
blueberry without skin, 0, 1, attribute, , 0.00, 30
blueberry without sugar, 0, 0, attribute, , 0.43, 
blueberry x, 0, 1, , , 0.00, 
blueberry x haze, 0, 0, , , 0.00, 
blueberry x og kush, 0, 1, , , 0.00, 
blueberry x strain, 0, 1, , , 0.00, 
blueberry x super silver haze, 0, 0, , , 0.00, 
blueberry xxl, 0, 0, , $0.01, 0.09, 
blueberry xxl wine, 0, 0, , $0.27, 0.93, 
blueberry yogurt, 1, 0, , $0.41, 0.94, 
blueberry yogurt academy, 0, 2, , , 0.00, 
blueberry yogurt cake, 1, 0, , $0.04, 0.02, 5
blueberry yogurt cake paris baguette, 0, 0, , $0.35, 0.00, 
blueberry yogurt muffins, 1, 0, , $0.56, 0.02, 9
blueberry yogurt smoothie, 0, 0, , $1.26, 0.17, 13
blueberry yum yum, 2, 0, , $0.70, 0.00, 5
blueberry yum yum lyrics, 0, 0, , , 0.00, 
blueberry yum yum recipe, 1, 0, , $1.17, 0.01, 2
blueberry yum yum strain, 1, 0, , , 0.00, 
blueberry zkittlez strain, 0, 0, , , 0.00, 2
blueberry zlushie strain, 0, 0, , , 0.00, 
blueberry zones, 0, 1, , $4.94, 0.12, 5
blueberry zookies, 0, 1, , , 0.00, 
blueberry zookies strain, 0, 1, , , 0.00, 
blueberry zucchini bread, 1, 0, , $0.87, 0.01, 28
blueberry zucchini muffins, 1, 0, , $0.25, 0.15, 1
blueberry zyn, 0, 0, , $1.34, 0.98, 
are blueberry bagels healthy, 0, 1, question, , 0.00, 
are blueberry bushes hard to grow, 0, 2, question, $0.73, 0.05, 8
are blueberry bushes perennial, 0, 1, question, , 0.01, 15
are blueberry bushes self pollinating, 0, 1, question, , 0.03, 
are blueberry good for you, 0, 1, question, $2.61, 0.10, 41
are blueberry muffins good for you, 0, 1, question, , 0.00, 6
are blueberry muffins healthy, 0, 1, question, , 0.00, 23
are blueberry plants toxic to cats, 0, 1, question, , 0.01, 3
are blueberry plants toxic to dogs, 0, 1, question, , 0.00, 
beacon blueberry, 0, 0, , , 0.00, 
benefits of blueberry, 13, 0, , $0.33, 0.06, 27
bread blueberry, 0, 0, , , 0.00, 
bush blueberry, 0, 0, , , 0.00, 
calories in a blueberry, 11, 1, , $0.04, 0.00, 20
can dogs eat blueberry, 1, 0, question, $0.12, 0.02, 19
chocolate blueberry, 1, 0, , $1.08, 0.97, 
dog can eat blueberry, 100, 0, , $0.23, 0.02, 27
dogs blueberry, 11, 0, , $0.37, 0.12, 21
drawing of blueberry, 3, 1, , $0.05, 0.09, 
dry blueberry, 5, 0, , $0.56, 1.00, 
duke blueberry, 1, 1, , $0.67, 1.00, 
dutch baby blueberry, 0, 0, , , 0.00, 
emerald blueberry, 0, 1, , $0.79, 1.00, 
fanta blueberry, 0, 0, , $0.09, 0.30, 
faygo blueberry, 100, 0, brand, $0.07, 0.01, 20
fiber in blueberry, 6, 1, , $1.57, 0.00, 46
filling blueberry, 0, 0, , , 0.00, 
french for blueberry, 1, 0, , , 0.00, 
frozen blueberry, 2, 0, , $0.24, 0.91, 4
fruit blueberry, 3, 0, , $0.23, 0.62, 43
gin blueberry, 0, 0, , $0.41, 0.89, 
girl from willy wonka blueberry, 0, 0, , , 0.00, 
granola blueberry, 0, 1, , $0.25, 1.00, 
hindi of blueberry, 0, 0, , , 0.00, 
how much calories in a blueberry, 0, 1, question, , 0.00, 19
how to plant blueberry, 0, 1, question, $0.06, 0.18, 27
is blueberry a berry, 0, 0, question, , 0.00, 24
is blueberry a fruit, 0, 0, question, , 0.00, 26
is blueberry acidic, 0, 0, question, , 0.00, 
is blueberry bad for cats, 0, 1, question, , 0.00, 
is blueberry good for diabetics, 0, 1, question, , 0.01, 22
is blueberry good for dogs, 0, 1, question, $0.20, 0.02, 14
is blueberry good for you, 0, 1, question, $0.05, 0.05, 40
is blueberry juice good for you, 0, 0, question, $0.58, 0.03, 23
is blueberry muffin healthy, 0, 1, question, , 0.00, 7
japanese blueberry, 2, 1, , $0.14, 0.50, 
jersey blueberry, 1, 1, , $0.71, 0.96, 
jordan blueberry, 0, 3, , $0.39, 0.92, 
jordan retro 12 blueberry, 0, 3, , $0.54, 1.00, 
le creuset blueberry, 5, 0, , $0.23, 1.00, 
matcha blueberry, 1, 1, , $0.98, 0.57, 
milkshake blueberry, 1, 0, , $1.93, 0.01, 1
mojito blueberry, 0, 0, , $2.16, 0.06, 9
movie blueberry, 1, 0, , , 0.00, 13
muffin blueberry, 0, 0, , $0.21, 0.87, 42
northern highbush blueberry, 1, 2, , $1.40, 0.76, 
perfume blueberry, 0, 0, , , 0.00, 
phone blueberry, 1, 0, , $0.14, 0.29, 13
pie blueberry, 0, 0, , , 0.00, 
pink lemonade blueberry, 6, 0, , $1.02, 1.00, 
pokedex blueberry, 0, 0, , , 0.00, 
price blueberry, 0, 0, , , 0.00, 
stardew valley blueberry, 1, 0, , , 0.00, 
stella rosa blueberry, 3, 0, , $0.45, 0.99, 
strawberry shortcake blueberry, 0, 0, , $0.27, 0.01, 
syrup blueberry, 0, 0, , , 0.00, 
the benefits of blueberry, 0, 0, , $0.87, 0.14, 38
tree of blueberry, 5, 0, , $0.42, 0.99, 18
unripe blueberry, 0, 0, , , 0.00, 
upick blueberry, 0, 0, , $2.17, 0.01, 34
uses of blueberry, 0, 0, , $0.11, 0.08, 12
veggietales madame blueberry, 3, 0, , $1.60, 0.00, 6
veruca salt blueberry, 0, 0, , , 0.00, 8
violet beauregarde blueberry, 1, 0, , $0.26, 0.00, 10
what are the benefits of blueberry, 1, 1, question, $0.04, 0.13, 42
when to plant blueberry, 0, 1, question, $1.09, 0.04, 7
which blueberry bush is best, 0, 0, question, , 0.00, 
which blueberry is the best, 0, 1, question, , 0.44, 
which blueberry is the sweetest, 0, 1, question, $0.32, 0.27, 
which blueberry plant is the sweetest, 0, 1, question, $3.09, 0.82, 63
which blueberry variety is the sweetest, 0, 1, question, , 0.21, 60
why blueberry leaves turn brown, 0, 0, question, , 0.00, 
why blueberry leaves turn red, 0, 0, question, , 0.00, 14
zootopia blueberry, 0, 1, , , 0.00, 
zyn cool blueberry, 0, 0, , $1.64, 0.98, 
